NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kevin Huerter,Atl,G-F,23.67,5,30.7,64,17.9,18.4,4,0.75,16,0.5,31,0.29,0.457,0.472,9.2,3,5.9,3.8,20.4,1,0.6,2.2,6.1,92.1,108.1
,De'Andre Hunter,Atl,F-G,24.41,5,34.9,72.8,23.7,12.2,20,0.8,44,0.614,26,0.462,0.643,0.673,21.2,3.8,6.6,0.6,3.5,0.8,0.2,2.2,4.2,115.2,106.7
,Bones Hyland,Den,G,21.62,5,17.3,36.1,24.2,12.5,14,0.857,13,0.385,23,0.348,0.472,0.546,9.2,2,7.1,3.2,27.5,0.2,0,1.2,9,112.4,103.2
,Serge Ibaka,Mil,F,32.61,4,4.8,9.9,36.2,12.6,2,0.5,11,0.364,2,0,0.308,0.324,2.3,2.5,26.3,0,0,0,0,0.5,0,67.2,103
,Andre Iguodala,Gol,G-F,38.25,3,14.1,29.4,9.9,32.2,3,0.667,3,0.333,2,0,0.2,0.316,1.3,2.3,10.2,2.3,19.4,0,0.67,1,5.4,94.7,94.1
,Brandon Ingram,Nor,F,24.66,6,39.3,81.8,29.5,14.2,47,0.83,91,0.495,27,0.407,0.521,0.584,27,6.2,9.3,6,26.6,0.67,0.33,3.83,10.2,111.8,112.3
,Kyrie Irving,Bro,G,30.1,4,42.6,88.8,21.9,11.1,21,1,42,0.476,21,0.381,0.508,0.588,21.3,5.3,8,5.3,18.8,1.75,1.25,2.25,7.9,120.3,110
,Jaren Jackson Jr.,Mem,F-C,22.62,5,22.6,47,22.1,14.6,15,0.667,24,0.458,22,0.318,0.467,0.504,10.6,5.8,14.5,0.4,2.6,0.6,2.8,1.8,5.1,98.4,88.6
,Isaiah Joe,Phi,G,22.83,4,1.9,3.9,31.4,40,0,0,1,0,2,0.5,0.5,0.5,0.8,0,0,0,0,0,0,0.5,0,,
,Cameron Johnson,Pho,F,26.15,6,27.9,58.1,17.5,9.6,15,0.667,22,0.591,28,0.357,0.56,0.583,11,3.7,7.8,1.5,7,0.5,0,1,5.6,112,103.3
,Jalen Johnson,Atl,F,20.36,2,4.6,9.6,20,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,123.5
,Nikola Jokic,Den,C,27.19,5,34.2,71.3,36.8,16.6,33,0.848,88,0.636,18,0.278,0.599,0.643,31,13.2,23.9,5.8,36.5,1.6,1,4.8,15.6,116,98.4
,Derrick Jones Jr.,Chi,F,25.2,5,11.8,24.6,15.8,14.1,3,0.667,6,0.667,11,0.273,0.5,0.519,3.8,1.4,5.9,0.4,5.3,0.2,0,0.6,4.4,99.5,104.8
,Herbert Jones,Nor,F,23.56,6,37.7,78.5,11.7,13,22,0.773,32,0.5,12,0.417,0.534,0.596,10.7,3.3,5.2,1.8,6.8,1.83,0.83,1.33,4.2,117.9,106.9
,Tyus Jones,Mem,G,25.97,5,17.8,37,19.6,16.3,9,0.889,18,0.389,14,0.571,0.594,0.64,9.2,3.4,10.8,4.2,35.8,1.2,0,1.4,11.4,127.6,106
,DeAndre Jordan,Phi,C,33.77,1,0,0,,,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,,
,Maxi Kleber,Dal,F,30.25,6,23.4,48.6,15.7,11,8,0.75,6,0.667,31,0.516,0.757,0.765,10.3,5,12.5,1.3,9.5,0,0.17,0.83,6.9,136.9,99.3
,Kevin Knox II,Atl,F,22.72,2,4.6,9.6,74.4,20.2,2,1,1,1,10,0.6,0.909,0.926,11,1,13.1,0,0,1,0,1.5,0,1019.8,103.9
,John Konchar,Mem,G,26.1,3,2.5,5.2,5.4,0,0,0,0,0,1,0,0,0,0,1,22.5,0.3,16.1,0,0,0,0,,
,Furkan Korkmaz,Phi,G-F,24.77,4,2.9,6,4.1,0,0,0,0,0,1,1,1.5,1.5,0.8,0.8,16,0.8,37.6,0,0,0,11,,
,Jonathan Kuminga,Gol,F,19.56,4,6.3,13,25.4,21.3,7,0.571,7,0.714,1,0,0.625,0.632,3.5,0,0,0.3,5.9,0.25,0.25,0.75,0,97.1,115.8
,Zach LaVine,Chi,G-F,27.14,4,38.2,79.5,23.4,14.7,15,0.933,39,0.462,24,0.375,0.5,0.553,19.3,5.3,6.9,6,27.1,0.75,0.25,3,8.9,105.9,111.3
,Damion Lee,Gol,G-F,29.52,2,4.2,8.8,26.2,0,2,1,3,0.667,1,0,0.5,0.615,3,1,14.7,0,0,0,0,0,0,128.2,98
,Kevon Looney,Gol,F,26.23,5,13.4,27.9,7.9,8.5,4,0.5,9,0.556,0,0,0.556,0.558,2.4,4.2,19.4,1,9.3,0.2,0,0.2,6.4,140,87.7
,Brook Lopez,Mil,C,34.07,5,28.8,60,18.4,8.2,12,0.917,36,0.556,15,0.333,0.539,0.586,13.2,4.6,8,0.8,4.1,0.4,1.6,1,5.1,117.5,105.5
,Kyle Lowry,Mia,G,36.1,3,29.5,61.5,14.1,10.6,5,0.8,7,0.429,16,0.313,0.457,0.496,8.3,3.7,7.5,5.3,24.4,0.67,0.67,1,7.4,114.6,107
,Timothe Luwawu-Cabarrot,Atl,G-F,26.97,4,5.5,11.5,10.4,20,0,0,1,1,3,0.333,0.625,0.625,1.3,0.8,8.2,0.5,14.5,0,0,0.25,5.8,110.3,89.7
,Boban Marjanovic,Dal,C,33.7,1,1.3,2.7,74.5,50,0,0,1,0,0,0,0,0,0,1,44.8,0,0,0,0,1,0,,
,Naji Marshall,Nor,F,24.26,6,9.4,19.6,11.3,20.3,4,1,10,0.7,0,0,0.7,0.765,3,1,6.3,0.8,12.9,0.17,0.17,0.5,5.7,135.1,109.9
,Caleb Martin,Mia,F,26.58,5,12.5,26.1,21.5,13.2,3,0,13,0.462,12,0.167,0.36,0.342,3.6,1.4,6.8,0,0,1,0.2,0.8,0,64.1,98.1
,Wesley Matthews,Mil,G,35.54,5,27.8,58,9,10.4,2,0,4,0.5,21,0.476,0.68,0.657,6.8,2.8,5,1.6,7.6,1,0.4,0.6,4.5,126,105.9
,Tyrese Maxey,Phi,G,21.48,6,42.1,87.6,20.7,9,20,0.95,55,0.582,37,0.405,0.592,0.635,21.3,4.7,6.8,4.8,19.3,0.67,0.17,1.67,7.4,124.5,111.5
,Skylar Mays,Atl,G,24.65,2,4.6,9.6,5,0,0,0,1,1,0,0,1,1,1,0.5,6.6,0.5,17.9,0.5,0,0,5.5,208.4,101.7
,CJ McCollum,Nor,G,30.61,6,39,81.2,27.9,9.9,26,0.692,74,0.432,51,0.333,0.46,0.487,22.2,6.7,10.1,5,21.3,0.67,0.83,2.5,9.3,102.9,110.8
,Jaden McDaniels,Min,F,21.58,5,19.3,40.2,15.2,17.4,8,0.875,11,0.455,14,0.357,0.5,0.561,6.4,2.6,7.6,0.8,6.4,0.4,2,1.2,4.9,103.8,99.2
,JaVale McGee,Pho,C-F,34.27,6,11,22.9,23.7,9,10,0.8,26,0.808,0,0,0.808,0.822,8.3,3.7,19.7,0.5,7.8,0.17,0.17,0.5,9,155.2,91.8
,Jordan McLaughlin,Min,G,26.05,4,14.6,30.4,10.9,13.4,2,1,6,0.667,6,0.667,0.833,0.854,5.5,1.8,6.8,3.3,36.4,1,0,0.5,8.8,164.4,107.8
,De'Anthony Melton,Mem,G,23.92,4,11.7,24.3,19.9,17.5,2,0.5,4,0.25,14,0.143,0.222,0.238,2.3,1.8,8.5,1.3,14,0.5,0,1,6,56.1,101.4
,Khris Middleton,Mil,F,30.71,2,35.8,74.5,22,30.3,3,1,10,0.4,14,0.429,0.542,0.573,14.5,5,7,7,27.7,1.5,0,5.5,8.9,95.8,104.8
,Patty Mills,Bro,G,33.71,4,18.1,37.7,10.8,5.9,0,0,3,0.667,13,0.538,0.781,0.781,6.3,1,3.6,0,0,0,0.25,0.25,0,137.4,114.3
,Shake Milton,Phi,G-F,25.59,6,12,25,11.1,5.9,7,1,7,0.571,6,0.5,0.654,0.746,4,1.2,6,0.8,10.1,0.33,0.33,0.17,5.2,152.3,108.7
,Donovan Mitchell,Uta,G,25.64,6,38.3,79.7,34.2,9.6,42,0.881,85,0.506,48,0.208,0.436,0.505,25.5,4.3,6.6,5.7,29.7,0.67,0.5,2.67,8.9,107.4,109.5
,Greg Monroe,Min,F-C,31.9,1,0.1,0.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Moses Moody,Gol,G,19.91,2,4.2,8.8,20.8,25.8,2,0.5,1,0,1,0,0,0.174,0.5,0.5,7.4,0.5,13.6,0.5,0,0.5,4.8,60,110.8
,Ja Morant,Mem,G,22.72,5,36.8,76.8,28.6,14.6,54,0.704,72,0.431,15,0.267,0.425,0.506,22.4,8.8,13.5,10.4,44.2,1.4,0.6,3.8,13.8,109.7,102.4
,Monte Morris,Den,G,26.84,5,31.1,64.9,18,12.4,12,0.75,25,0.56,26,0.423,0.598,0.622,14,2.2,4.4,5.4,26.3,1.4,0,1.6,7.1,123,107.4
,Trey Murphy III,Nor,F,21.86,6,20,41.6,9.1,4,5,0.8,3,0,19,0.474,0.614,0.64,5.2,2.5,7.4,0.5,3.4,0.5,0.17,0.17,3.7,134.6,109.7
,Svi Mykhailiuk,Tor,G-F,24.89,3,1.6,3.4,23.1,0,1,1,0,0,2,0,0,0.205,0.3,0.3,12.5,0,0,0,0,0,0,,
,Larry Nance Jr.,Nor,F-C,29.32,6,21.6,45.1,16.5,12,11,0.818,30,0.667,9,0.222,0.59,0.627,9.2,5.8,15.9,1.8,13.2,0.5,0.33,1,8.5,131.3,104.7
,Georges Niang,Phi,F,28.87,6,17.4,36.3,10.4,13,0,0,2,1,18,0.667,1,1,6.7,1.3,4.7,0.7,5.9,0.17,0,0.5,4.2,163.4,100.9
,Zeke Nnaji,Den,F-C,21.3,2,4.3,9,5.1,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0,0,300,96.2
,Jaylen Nowell,Min,G,22.81,1,11.9,24.8,35.7,0,0,0,5,0.6,5,0,0.3,0.3,6,0,0,1,16.9,1,0,0,0,70,108.9
,Jordan Nwora,Mil,F,23.64,3,4.2,8.8,20.4,0,0,0,4,0.25,2,0,0.167,0.167,0.7,0.3,3.9,0.7,20.5,0,0,0,5,57.6,117.7
,Josh Okogie,Min,G,23.66,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Onyeka Okongwu,Atl,F-C,21.38,5,21.6,44.9,10.4,16.4,10,0.8,16,0.563,0,0,0.563,0.637,5.2,5.4,15.1,0.4,2.9,0.8,0.8,0.8,4.1,130,97.5
,Victor Oladipo,Mia,G,29.98,2,29.6,61.7,23.1,9.8,4,1,15,0.533,11,0.273,0.481,0.522,14.5,4.5,9.2,3.5,18.4,1.5,0,1.5,8.3,107.2,97.6
,Royce O'Neale,Uta,F,28.9,6,31.4,65.3,9.7,7.7,2,1,10,0.7,25,0.28,0.5,0.516,6.2,5.7,10.5,1.5,7.3,0.5,0.17,0.5,4.8,115.6,105.3
,Eric Paschall,Uta,F,25.48,4,6.1,12.7,12.4,0,1,1,4,0.5,2,0.5,0.583,0.621,2,1.3,12,0,0,0.25,0,0,0,135.5,99.1
,Chris Paul,Pho,G,36.98,6,36.9,76.8,23.3,8.2,25,0.96,64,0.672,26,0.308,0.611,0.663,22.3,4.3,6.9,11.3,45.8,1.83,0.17,1.5,11.1,142.8,105.5
,Cameron Payne,Pho,G,27.72,6,15,31.3,26.9,13.6,6,0.833,24,0.417,18,0.167,0.345,0.381,5.7,1.2,4.6,1.2,10.3,1.17,0.17,1.17,5.4,74.5,93.4
,Gary Payton II,Gol,G,29.41,5,16.9,35.3,10.5,0,6,0.667,9,0.667,8,0.75,0.882,0.866,6.8,2.8,10.2,1.2,9.7,1,0.8,0,6.7,181.3,103.4
,Elfrid Payton,Pho,G,28.18,1,2.4,5,19.5,0,0,0,1,1,0,0,1,1,2,0,0,1,85.7,0,0,0,0,,
,Jordan Poole,Gol,G,22.86,5,32.4,67.4,23.8,14,26,0.846,31,0.613,31,0.484,0.669,0.715,21,2.4,4.6,5.4,25.1,1.4,0.4,2.4,8,131.9,103.3
,Otto Porter Jr.,Gol,F,28.9,5,21.9,45.5,11.5,17.9,2,0.5,9,0.556,13,0.154,0.364,0.372,3.4,3.2,9.1,2.2,12.4,0.6,0.4,1,5.3,87.1,99.7
,Bobby Portis,Mil,F,27.21,5,23.8,49.6,22.1,13.1,9,0.556,24,0.542,25,0.36,0.541,0.548,11.6,11.4,23.9,0.8,5.1,0.2,0.2,1.6,7.9,103.7,102.3
,Dwight Powell,Dal,F-C,30.78,6,17.7,36.8,12.1,18.9,8,0.625,16,0.625,2,0,0.556,0.581,4.2,3.7,12.1,0.5,4.3,0.17,0.5,0.83,4.5,112,95.9
,Taurean Prince,Min,F,28.1,5,13.1,27.2,22.2,11.7,7,0.857,13,0.462,14,0.286,0.444,0.499,6,1.6,6.9,1.2,15.4,0.4,0.2,0.8,6.9,100.1,109.5
,Payton Pritchard,Bos,G,24.25,4,11.5,23.9,15.5,6.3,0,0,8,0.875,7,0.429,0.767,0.767,5.8,1.5,8.6,1,13.6,0.25,0,0.25,7.2,144.3,102.5
,Paul Reed,Phi,F,22.87,6,10,20.7,21.4,25.7,5,0.6,16,0.5,2,1,0.611,0.619,4.2,3.5,21.6,0.3,5.5,0.67,0.33,1.17,6.6,108,83.2
,Naz Reid,Min,C-F,22.67,5,10.8,22.5,19.8,19.9,7,1,10,0.4,7,0.429,0.5,0.598,4.8,2.8,14.6,0,0,0.2,1.2,1,0,99.7,86.1
,Austin Rivers,Den,G,29.74,5,21.7,45.2,9,17.8,1,1,6,0.667,12,0.333,0.556,0.569,4.2,0.6,1.7,1.2,7.4,1.4,0.2,0.8,2.7,100.7,101.7
,Duncan Robinson,Mia,F,28.02,5,13.2,27.4,16,8.4,4,1,1,1,19,0.526,0.8,0.827,7.2,1.2,5.5,0,0,0,0,0.4,0,139.5,100.2
,D'Angelo Russell,Min,G,26.18,5,33.8,70.5,21.4,15.3,16,0.75,37,0.27,28,0.393,0.408,0.451,13,2.8,4.7,7.2,34,1.2,0,2.6,7.6,98.4,108
,Landry Shamet,Pho,G,25.13,5,19.6,40.8,13.5,14.1,3,0.667,9,0.667,14,0.214,0.457,0.473,4.6,1.4,4.2,1,6.3,0.6,0,0.8,3.8,92.6,111.2
,Day'Ron Sharpe,Bro,F,20.48,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Pascal Siakam,Tor,F,28.07,6,43.4,90.4,24.2,9.6,36,0.861,90,0.522,17,0.235,0.495,0.558,22.8,7.2,10.1,5.8,22.8,1.17,1,2.17,9.1,117.9,105.5
,Marcus Smart,Bos,G,28.15,4,36.7,76.5,21.2,12.8,10,0.8,25,0.56,32,0.313,0.509,0.537,16.5,4,7.1,7,27.4,1.25,0,2.25,8.4,114.7,101.9
,Jaden Springer,Phi,G,19.59,2,1.8,3.8,39.2,0,0,0,3,0.667,0,0,0.667,0.667,2,1,34.1,0.5,122.9,0,0,0,22.2,,
,Max Strus,Mia,G-F,26.09,5,28.9,60.1,20.6,7.5,7,0.571,14,0.643,45,0.356,0.559,0.564,14,2.8,5.9,2.2,11.6,1.4,0.2,1,6.1,112.5,101.4
,Jayson Tatum,Bos,F-G,24.16,4,41.8,87,30.7,17.3,38,0.868,48,0.479,31,0.419,0.538,0.616,29.5,4.5,7,7.3,27,1.75,0.75,5,9.5,114.6,100.4
,Garrett Temple,Nor,G-F,35.98,1,1.9,4,0,,0,0,0,0,0,0,,,0,1,31.1,0,0,0,0,0,0,,
,Daniel Theis,Bos,F-C,30.07,4,22.1,45.9,16.9,17.8,6,0.833,18,0.722,7,0.143,0.58,0.615,8.5,6.5,19.3,1.3,8.1,0.75,0.25,1.5,7.5,118,92.1
,Cam Thomas,Bro,G,20.54,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Klay Thompson,Gol,G,32.22,5,34.5,71.9,24.5,6.4,6,0.833,37,0.568,48,0.458,0.635,0.645,22.6,3.8,6.8,1.4,6.5,1.2,0.8,1.2,5.7,116.6,105.4
,Tristan Thompson,Chi,C-F,31.13,5,7.6,15.9,11.5,50,0,0,5,0.4,0,0,0.4,0.4,0.8,1.6,10.5,0.4,7.4,0.2,0,1,4.2,59.8,105.3
,Matisse Thybulle,Phi,G-F,25.15,3,14.4,30.1,12.9,8.4,2,0,4,0.5,6,0.333,0.5,0.46,3.3,1.3,5.7,0.3,3.4,0.67,1,0.33,3,90.6,97.7
,Xavier Tillman,Mem,F,23.29,4,17.1,35.5,12.6,28.3,5,0.4,12,0.833,1,0,0.769,0.724,5.5,4,13.2,0.3,2.1,0.25,0,1.5,4.4,110.7,101.7
,Juan Toscano-Anderson,Gol,F,29.05,2,4.2,8.8,15.5,0,2,0.5,1,1,1,1,1.25,1.042,3,1,14.7,0.5,18.7,0.5,0,0,10.9,200.5,103.8
,Karl-Anthony Towns,Min,C-F,26.45,5,36.2,75.4,24.5,24,41,0.902,42,0.548,19,0.526,0.623,0.715,22.6,11,17.1,1.8,8.8,0.6,2.2,5,8.5,113.1,101.4
,Gary Trent Jr.,Tor,G-F,23.28,6,33.2,69.2,21.7,3.2,19,0.895,43,0.419,39,0.333,0.457,0.509,15.3,1.8,3.4,1.3,6.4,1,0.5,0.5,4,110.5,112.2
,P.J. Tucker,Mia,F,36.98,5,28.2,58.8,10.6,5.9,4,1,15,0.667,15,0.533,0.733,0.756,9.6,6.2,13.3,2.4,12.1,0.4,0,0.4,7.4,156,98.8
,Rayjon Tucker,Mil,G,24.6,3,3.9,8.1,0,,0,0,0,0,0,0,,,0,0.7,8.6,0,0,0,0,0,0,,
,Jonas Valanciunas,Nor,C,29.98,6,29.1,60.6,22.5,13.1,26,0.769,62,0.516,6,0.167,0.493,0.548,14.5,14.3,29.1,3,16.5,0.67,0.17,2,11.7,119,102
,Jarred Vanderbilt,Min,F,23.07,5,23.3,48.6,12.2,15,10,0.7,24,0.5,0,0,0.5,0.546,6.2,7.8,18.8,0.8,5.3,1.2,0.2,1,5.8,112.4,100
,Fred VanVleet,Tor,G,28.17,4,35,72.9,20.1,6.6,6,0.833,18,0.389,36,0.333,0.463,0.486,13.8,3,5.3,6.3,27.5,1.75,1,1,7.3,115.3,106.7
,Luca Vildoza,Mil,G,20,2,4.9,10.1,13.4,0,0,0,0,0,3,0.333,0.5,0.5,1.5,0.5,5.2,1.5,41.6,1,0,0,8.5,139.9,81.7
,Gabe Vincent,Mia,G,25.87,5,25.1,52.4,16.5,15,6,0.833,12,0.417,25,0.36,0.5,0.53,8.4,2.4,5.8,4.2,23.3,1.2,0.2,1.4,7,111.4,101.2
,Nikola Vucevic,Chi,C,31.51,5,36.2,75.3,24.5,7.9,5,0.8,49,0.551,42,0.31,0.511,0.52,19.4,12.4,17.1,3.2,16.5,0.4,1.2,1.6,10.1,108.1,106.4
,Ish Wainright,Pho,F,27.63,1,2.4,5,39,0,0,0,1,0,1,0,0,0,0,1,24.6,0,0,1,0,0,0,,
,Yuta Watanabe,Tor,G-F,27.54,4,2.6,5.4,31.5,14.3,0,0,5,0.4,1,0,0.333,0.333,1,0,0,0,0,0,0,0.25,0,,
,Coby White,Chi,G,22.2,5,19.6,40.9,23.8,11.3,5,0.8,16,0.438,29,0.276,0.422,0.445,8.4,3.4,8.7,1.8,15.2,0.2,0,1.2,7.6,87.2,111.9
,Derrick White,Bos,G,27.83,4,20.4,42.4,15.4,10.6,5,0.8,12,0.583,11,0.091,0.37,0.417,5.3,4.5,14.4,2,12.9,1,0,0.75,7.1,93.5,98.6
,Hassan Whiteside,Uta,C,32.88,6,10.9,22.7,9.9,0,4,0.25,12,0.417,0,0,0.417,0.4,1.8,5.2,27.6,0,0,0.33,1.33,0,0,114,92.8
,Andrew Wiggins,Gol,F,27.18,5,29.9,62.3,19.3,9.4,16,0.563,38,0.526,13,0.538,0.598,0.603,14,6.8,14.1,1.6,7.7,0.8,0.8,1.2,7.1,116.1,103.8
,Robert Williams III,Bos,C-F,24.53,2,14.9,30.9,10.3,14.5,2,0.5,5,0.4,0,0,0.4,0.425,2.5,3.5,15.4,0.5,4.3,0.5,0.5,0.5,4.4,115.1,98.3
,Grant Williams,Bos,F,23.41,4,29.7,61.8,11.8,6.3,8,0.875,10,0.7,16,0.5,0.731,0.762,11.3,4,8.8,0.8,3.4,0.25,1.5,0.5,4.5,151.2,103.4
,Patrick Williams,Chi,F,20.67,5,30.6,63.7,16.9,11.9,11,0.727,26,0.577,21,0.333,0.543,0.569,11.8,5.4,8.8,0.8,4.3,1,0.6,1.4,4.8,106.5,106
,Ziaire Williams,Mem,F,20.63,5,11,23,17.2,0,10,0.9,7,0.714,12,0.25,0.5,0.598,5.6,0.2,1,0.2,2.6,0.4,0,0,2.2,134.2,105.7
,Delon Wright,Atl,G,30.01,5,27.4,57,12.8,13.2,9,0.667,16,0.625,13,0.385,0.603,0.622,8.2,4.8,10.6,2.8,16.8,0.8,0.2,1,7,131.9,117.4
,Thaddeus Young,Tor,F,33.85,6,14.5,30.2,12.2,13.2,4,0.25,11,0.727,7,0.143,0.528,0.506,3.3,3,12.7,1.7,16.9,0.83,0.17,0.5,7.1,116.6,103.8
,Trae Young,Atl,G,23.61,5,37.3,77.7,28,26.4,33,0.788,31,0.484,38,0.184,0.37,0.461,15.4,5,8.1,6,26.9,0.6,0,6,8.3,84.1,111.8
,Omer Yurtseven,Mia,C,23.86,2,4.2,8.8,28.1,0,3,0.333,3,1,1,0,0.75,0.658,3.5,0.5,7.2,0.5,25.2,0,0,0,9.1,130.9,101.4